,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,76.628,77.245,76.187,77.168,77.068,64.333,67.663,73.756
Boulware-Conceder,25.418,55.410,31.845,38.242,39.415,50.793,58.993,42.874
Boulware-Linear,54.683,72.130,57.907,62.967,59.528,57.330,63.980,61.218
Boulware-Atlas3,56.835,73.852,51.093,64.580,65.235,59.573,61.767,61.848
Conceder-Conceder,8.078,7.492,10.785,10.437,9.107,5.728,9.060,8.670
Conceder-Linear,12.223,26.720,19.340,16.428,16.868,13.060,21.973,18.088
Conceder-Atlas3,16.275,32.773,16.527,21.118,24.688,15.692,26.507,21.940
Linear-Linear,31.382,39.330,36.797,39.707,38.668,17.750,33.355,33.855
Linear-Atlas3,36.025,43.288,27.910,38.603,37.695,24.723,32.067,34.330
Atlas3-Atlas3,39.293,48.935,29.153,42.008,42.353,34.943,36.293,38.997
Average,35.684,47.718,35.754,41.126,41.063,34.393,41.166,39.558
