,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,1.200,0.522,1.079,0.865,2.290,1.191
Boulware-Conceder,1.619,1.457,1.518,1.547,2.115,1.651
Boulware-Linear,1.858,1.444,1.479,1.531,2.430,1.748
Boulware-Atlas3,1.602,1.307,1.440,1.316,2.287,1.590
Conceder-Conceder,1.899,1.731,1.743,1.764,2.420,1.911
Conceder-Linear,1.864,1.732,1.788,2.044,2.506,1.987
Conceder-Atlas3,1.866,1.731,1.735,1.985,2.401,1.944
Linear-Linear,1.826,1.664,1.802,1.791,2.514,1.919
Linear-Atlas3,1.783,1.490,1.745,1.754,2.610,1.876
Atlas3-Atlas3,1.828,1.657,1.712,1.730,2.603,1.906
Average,1.734,1.473,1.604,1.632,2.418,1.772
