,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,77.350,74.978,77.038,78.068,77.758,50.398,74.995,72.941
Boulware-Conceder,45.595,51.082,56.653,52.737,67.732,52.067,72.943,56.973
Boulware-Linear,63.648,71.897,69.090,59.850,73.243,48.612,54.310,62.950
Boulware-Atlas3,63.693,69.928,54.520,70.235,70.723,44.167,68.480,63.107
Conceder-Conceder,9.502,12.287,6.578,10.173,8.298,8.883,20.042,10.823
Conceder-Linear,26.057,32.212,14.465,22.595,30.958,9.010,34.875,24.310
Conceder-Atlas3,16.818,39.773,19.033,33.005,47.370,13.803,24.433,27.748
Linear-Linear,39.792,53.998,37.610,40.373,58.408,19.498,40.733,41.488
Linear-Atlas3,44.755,50.663,31.450,39.627,40.703,30.108,37.118,39.204
Atlas3-Atlas3,47.835,55.063,28.035,37.903,49.387,36.077,46.057,42.908
Average,43.505,51.188,39.447,44.457,52.458,31.262,47.399,44.245
