,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,51.833%,66.833%,83.167%,81.000%,39.333%,49.167%,55.667%,61.000%
Boulware-Conceder,84.500%,68.833%,94.000%,87.833%,52.167%,60.500%,50.000%,71.119%
Boulware-Linear,78.833%,74.500%,82.167%,84.000%,77.167%,74.833%,33.333%,72.119%
Boulware-Atlas3,91.833%,83.000%,91.167%,81.833%,91.167%,62.667%,54.000%,79.381%
Conceder-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,83.833%,97.690%
Conceder-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,73.333%,96.190%
Conceder-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,90.500%,74.333%,94.976%
Linear-Linear,100.000%,100.000%,100.000%,100.000%,99.833%,100.000%,74.333%,96.310%
Linear-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,80.667%,79.500%,94.310%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,88.667%,99.500%,98.310%
Average,90.700%,89.317%,95.050%,93.467%,85.967%,80.700%,67.783%,86.140%
