,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,1.210,1.277,2.081,1.709,0.703,1.847,0.982,1.401
Boulware-Conceder,2.000,1.363,2.386,1.943,0.951,1.536,0.956,1.591
Boulware-Linear,1.888,1.321,2.047,1.773,1.330,2.168,1.293,1.689
Boulware-Atlas3,2.106,1.564,2.320,1.703,1.641,1.947,1.073,1.765
Conceder-Conceder,2.285,1.789,2.399,1.956,1.681,2.113,1.272,1.928
Conceder-Linear,2.352,1.807,2.526,2.034,1.854,2.188,1.251,2.002
Conceder-Atlas3,2.374,2.091,2.557,2.277,1.765,2.089,1.769,2.132
Linear-Linear,2.349,1.826,2.547,2.211,1.854,2.305,1.500,2.085
Linear-Atlas3,2.403,1.792,2.614,2.060,1.751,1.959,1.686,2.038
Atlas3-Atlas3,2.352,1.722,2.637,2.240,1.756,1.950,1.274,1.990
Average,2.132,1.655,2.411,1.991,1.529,2.010,1.306,1.862
