,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,77.302,79.462,78.227,78.763,73.043,77.359
Boulware-Conceder,50.878,41.007,43.482,35.253,47.705,43.665
Boulware-Linear,58.922,68.483,70.595,62.837,47.645,61.696
Boulware-Atlas3,64.693,73.633,73.750,73.012,54.617,67.941
Conceder-Conceder,10.838,6.817,10.390,9.120,5.577,8.548
Conceder-Linear,23.297,17.862,24.580,10.362,9.913,17.203
Conceder-Atlas3,28.385,25.947,30.320,12.928,11.833,21.883
Linear-Linear,39.912,43.675,44.525,43.670,25.320,39.420
Linear-Atlas3,39.085,43.913,44.395,41.762,21.732,38.177
Atlas3-Atlas3,43.888,46.852,47.133,46.502,23.763,41.628
Average,43.720,44.765,46.740,41.421,32.115,41.752
