,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.567,0.426,0.539,0.451,0.329,0.606,0.344,0.466
Boulware-Conceder,0.646,0.525,0.760,0.545,0.375,0.542,0.370,0.537
Boulware-Linear,0.681,0.471,0.751,0.517,0.330,0.642,0.376,0.538
Boulware-Atlas3,0.656,0.474,0.759,0.530,0.368,0.548,0.380,0.531
Conceder-Conceder,0.745,0.571,0.760,0.510,0.569,0.831,0.517,0.643
Conceder-Linear,0.651,0.533,0.748,0.603,0.392,0.660,0.415,0.572
Conceder-Atlas3,0.677,0.535,0.778,0.594,0.406,0.538,0.406,0.562
Linear-Linear,0.685,0.529,0.796,0.639,0.421,0.652,0.359,0.583
Linear-Atlas3,0.661,0.511,0.786,0.557,0.414,0.578,0.352,0.551
Atlas3-Atlas3,0.680,0.545,0.806,0.603,0.472,0.544,0.335,0.569
Average,0.665,0.512,0.748,0.555,0.408,0.614,0.385,0.555
