,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.365,0.168,0.408,0.225,0.121,0.350,0.115,0.250
Boulware-Conceder,0.418,0.142,0.556,0.254,0.112,0.142,0.031,0.237
Boulware-Linear,0.439,0.171,0.540,0.236,0.103,0.283,0.070,0.263
Boulware-Atlas3,0.439,0.175,0.566,0.254,0.117,0.218,0.037,0.258
Conceder-Conceder,0.433,0.217,0.498,0.184,0.164,0.346,0.117,0.280
Conceder-Linear,0.452,0.191,0.564,0.312,0.143,0.336,0.110,0.301
Conceder-Atlas3,0.441,0.170,0.578,0.297,0.129,0.218,0.077,0.273
Linear-Linear,0.483,0.220,0.582,0.331,0.154,0.454,0.112,0.333
Linear-Atlas3,0.463,0.168,0.616,0.293,0.124,0.356,0.086,0.301
Atlas3-Atlas3,0.471,0.174,0.634,0.314,0.114,0.267,0.057,0.290
Average,0.440,0.180,0.554,0.270,0.128,0.297,0.081,0.279
