,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.379,0.391,0.713,0.692,0.160,0.359,0.229,0.418
Boulware-Conceder,0.643,0.417,0.818,0.707,0.347,0.466,0.346,0.535
Boulware-Linear,0.585,0.438,0.682,0.546,0.435,0.589,0.277,0.507
Boulware-Atlas3,0.676,0.450,0.756,0.554,0.472,0.413,0.364,0.526
Conceder-Conceder,0.801,0.575,0.796,0.712,0.570,0.812,0.406,0.667
Conceder-Linear,0.808,0.655,0.793,0.660,0.608,0.578,0.382,0.641
Conceder-Atlas3,0.752,0.702,0.842,0.859,0.791,0.522,0.383,0.693
Linear-Linear,0.763,0.750,0.873,0.833,0.799,0.597,0.380,0.714
Linear-Atlas3,0.831,0.655,0.856,0.697,0.559,0.460,0.375,0.633
Atlas3-Atlas3,0.828,0.684,0.864,0.666,0.844,0.563,0.487,0.705
Average,0.707,0.572,0.799,0.693,0.559,0.536,0.363,0.604
