,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,0.245,0.142,0.303,0.264,0.698,0.331
Boulware-Conceder,0.388,0.359,0.329,0.381,0.589,0.409
Boulware-Linear,0.450,0.353,0.388,0.376,0.714,0.456
Boulware-Atlas3,0.375,0.370,0.415,0.368,0.669,0.439
Conceder-Conceder,0.553,0.553,0.554,0.564,0.804,0.606
Conceder-Linear,0.452,0.426,0.486,0.539,0.787,0.538
Conceder-Atlas3,0.477,0.440,0.482,0.500,0.719,0.524
Linear-Linear,0.392,0.446,0.539,0.500,0.791,0.534
Linear-Atlas3,0.412,0.385,0.560,0.465,0.845,0.533
Atlas3-Atlas3,0.445,0.504,0.545,0.490,0.834,0.564
Average,0.419,0.398,0.460,0.445,0.745,0.493
