,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,0.121,0.032,0.113,0.096,0.485,0.169
Boulware-Conceder,0.160,0.103,0.107,0.180,0.391,0.188
Boulware-Linear,0.192,0.116,0.151,0.170,0.527,0.231
Boulware-Atlas3,0.156,0.119,0.157,0.160,0.458,0.210
Conceder-Conceder,0.240,0.191,0.190,0.196,0.527,0.269
Conceder-Linear,0.216,0.159,0.189,0.284,0.589,0.287
Conceder-Atlas3,0.209,0.143,0.160,0.248,0.514,0.255
Linear-Linear,0.200,0.164,0.208,0.207,0.585,0.273
Linear-Atlas3,0.189,0.113,0.191,0.192,0.663,0.270
Atlas3-Atlas3,0.199,0.140,0.165,0.191,0.658,0.271
Average,0.188,0.128,0.163,0.192,0.540,0.242
