metric,domain,series,case,mean,std,count
utility,ItexvsCypress,MiPN_general,case1,0.301325,0.170368,1000
utility,ItexvsCypress,MiPN_general,case2,0.372755,0.141943,1000
utility,ItexvsCypress,MiPN_general,case3,0.572013,0.237923,1000
utility,ItexvsCypress,MiPN_general,case4,0.633910,0.252648,1000
utility,ItexvsCypress,MiPN_general,case5,0.546514,0.288031,1000
utility,ItexvsCypress,MiPN_general,case6,0.646473,0.174987,1000
utility,ItexvsCypress,Transformer_expert,case1,0.558714,0.104889,1000
utility,ItexvsCypress,Transformer_expert,case2,0.459962,0.176003,1000
utility,ItexvsCypress,Transformer_expert,case3,0.738872,0.188339,1000
utility,ItexvsCypress,Transformer_expert,case4,0.806142,0.143833,1000
utility,ItexvsCypress,Transformer_expert,case5,0.727608,0.223388,1000
utility,ItexvsCypress,Transformer_expert,case6,0.797426,0.152278,1000
utility,ItexvsCypress,Transformer_general,case1,0.401186,0.171646,1000
utility,ItexvsCypress,Transformer_general,case2,0.437252,0.168435,1000
utility,ItexvsCypress,Transformer_general,case3,0.589232,0.247735,1000
utility,ItexvsCypress,Transformer_general,case4,0.650928,0.186180,1000
utility,ItexvsCypress,Transformer_general,case5,0.456247,0.148432,1000
utility,ItexvsCypress,Transformer_general,case6,0.498840,0.104424,1000
utility,IS_BT_Acquisition,MiPN_expert,case1,0.780529,0.236702,1000
utility,IS_BT_Acquisition,MiPN_expert,case2,0.807449,0.243552,1000
utility,IS_BT_Acquisition,MiPN_expert,case3,0.850881,0.130950,1000
utility,IS_BT_Acquisition,MiPN_expert,case4,0.810362,0.235513,1000
utility,IS_BT_Acquisition,MiPN_expert,case5,0.841720,0.187607,1000
utility,IS_BT_Acquisition,MiPN_expert,case6,0.704524,0.188592,1000
utility,IS_BT_Acquisition,MiPN_general,case1,0.808514,0.176151,1000
utility,IS_BT_Acquisition,MiPN_general,case2,0.710574,0.273456,1000
utility,IS_BT_Acquisition,MiPN_general,case3,0.809477,0.086857,1000
utility,IS_BT_Acquisition,MiPN_general,case4,0.807999,0.037320,1000
utility,IS_BT_Acquisition,MiPN_general,case5,0.644063,0.217704,1000
utility,IS_BT_Acquisition,MiPN_general,case6,0.709202,0.071728,1000
utility,IS_BT_Acquisition,Transformer_expert,case1,0.865868,0.063954,1000
utility,IS_BT_Acquisition,Transformer_expert,case2,0.849096,0.072252,1000
utility,IS_BT_Acquisition,Transformer_expert,case3,0.863115,0.059981,1000
