metric,opponent_pair,series,mean,std,count
steps,Atlas3-Atlas3,Transformer_expert,34.837143,10.963930,4200
steps,Atlas3-Atlas3,Transformer_general,44.150000,10.694207,4200
steps,Average,MiPN_expert,44.245119,26.830162,42000
steps,Average,MiPN_general,39.557571,25.792013,42000
steps,Average,Transformer_expert,34.970167,22.875136,42000
steps,Average,Transformer_general,45.690190,21.510460,42000
step_efficiency,Boulware-Boulware,MiPN_expert,0.005681,0.005441,4200
step_efficiency,Boulware-Boulware,MiPN_general,0.006203,0.004349,4200
step_efficiency,Boulware-Boulware,Transformer_expert,0.010507,0.006799,4200
step_efficiency,Boulware-Boulware,Transformer_general,0.008285,0.003307,4200
step_efficiency,Boulware-Conceder,MiPN_expert,0.020990,0.033962,4200
step_efficiency,Boulware-Conceder,MiPN_general,0.033377,0.046593,4200
step_efficiency,Boulware-Conceder,Transformer_expert,0.059202,0.079359,4200
step_efficiency,Boulware-Conceder,Transformer_general,0.010281,0.008632,4200
step_efficiency,Boulware-Linear,MiPN_expert,0.008594,0.007046,4200
step_efficiency,Boulware-Linear,MiPN_general,0.009340,0.006139,4200
step_efficiency,Boulware-Linear,Transformer_expert,0.012787,0.006012,4200
step_efficiency,Boulware-Linear,Transformer_general,0.009258,0.003855,4200
step_efficiency,Boulware-Atlas3,MiPN_expert,0.008646,0.006298,4200
step_efficiency,Boulware-Atlas3,MiPN_general,0.009223,0.006336,4200
step_efficiency,Boulware-Atlas3,Transformer_expert,0.013697,0.007843,4200
step_efficiency,Boulware-Atlas3,Transformer_general,0.009234,0.003806,4200
step_efficiency,Conceder-Conceder,MiPN_expert,0.094451,0.050502,4200
step_efficiency,Conceder-Conceder,MiPN_general,0.108413,0.067455,4200
step_efficiency,Conceder-Conceder,Transformer_expert,0.249738,0.080587,4200
step_efficiency,Conceder-Conceder,Transformer_general,0.118209,0.084606,4200
step_efficiency,Conceder-Linear,MiPN_expert,0.047222,0.037858,4200
step_efficiency,Conceder-Linear,MiPN_general,0.052288,0.041652,4200
step_efficiency,Conceder-Linear,Transformer_expert,0.085591,0.070141,4200
step_efficiency,Conceder-Linear,Transformer_general,0.035248,0.041855,4200
step_efficiency,Conceder-Atlas3,MiPN_expert,0.040787,0.038739,4200
step_efficiency,Conceder-Atlas3,MiPN_general,0.042281,0.039059,4200
step_efficiency,Conceder-Atlas3,Transformer_expert,0.067133,0.060573,4200
step_efficiency,Conceder-Atlas3,Transformer_general,0.030477,0.040736,4200
step_efficiency,Linear-Linear,MiPN_expert,0.020314,0.011463,4200
step_efficiency,Linear-Linear,MiPN_general,0.020335,0.012708,4200
step_efficiency,Linear-Linear,Transformer_expert,0.028405,0.013744,4200
step_efficiency,Linear-Linear,Transformer_general,0.016899,0.009128,4200
step_efficiency,Linear-Atlas3,MiPN_expert,0.018164,0.011685,4200
step_efficiency,Linear-Atlas3,MiPN_general,0.017578,0.011336,4200
step_efficiency,Linear-Atlas3,Transformer_expert,0.025658,0.013417,4200
step_efficiency,Linear-Atlas3,Transformer_general,0.015850,0.007333,4200
step_efficiency,Atlas3-Atlas3,MiPN_expert,0.017704,0.009502,4200
step_efficiency,Atlas3-Atlas3,MiPN_general,0.015747,0.010282,4200
step_efficiency,Atlas3-Atlas3,Transformer_expert,0.023800,0.014484,4200
step_efficiency,Atlas3-Atlas3,Transformer_general,0.015295,0.008355,4200
step_efficiency,Average,MiPN_expert,0.028255,0.036910,42000
step_efficiency,Average,MiPN_general,0.031479,0.043744,42000
step_efficiency,Average,Transformer_expert,0.057652,0.083106,42000
step_efficiency,Average,Transformer_general,0.026904,0.045732,42000
