metric,domain,series,mean,std,count
steps,EnergySmall_A,MiPN_general,41.165833,26.516140,6000
steps,EnergySmall_A,Transformer_expert,47.102833,20.746693,6000
steps,EnergySmall_A,Transformer_general,49.594000,20.056400,6000
steps,Average,MiPN_expert,44.245119,26.830162,42000
steps,Average,MiPN_general,39.557571,25.792013,42000
steps,Average,Transformer_expert,34.970167,22.875136,42000
steps,Average,Transformer_general,45.690190,21.510460,42000
step_efficiency,Laptop,MiPN_expert,0.037224,0.046367,6000
step_efficiency,Laptop,MiPN_general,0.045381,0.053114,6000
step_efficiency,Laptop,Transformer_expert,0.064663,0.076645,6000
step_efficiency,Laptop,Transformer_general,0.038177,0.061255,6000
step_efficiency,ItexvsCypress,MiPN_expert,0.020073,0.026371,6000
step_efficiency,ItexvsCypress,MiPN_general,0.021361,0.034620,6000
step_efficiency,ItexvsCypress,Transformer_expert,0.046675,0.071544,6000
step_efficiency,ItexvsCypress,Transformer_general,0.016782,0.025251,6000
step_efficiency,IS_BT_Acquisition,MiPN_expert,0.044927,0.048834,6000
step_efficiency,IS_BT_Acquisition,MiPN_general,0.049165,0.053162,6000
step_efficiency,IS_BT_Acquisition,Transformer_expert,0.091609,0.094480,6000
step_efficiency,IS_BT_Acquisition,Transformer_general,0.038846,0.057747,6000
step_efficiency,Grocery,MiPN_expert,0.030157,0.031822,6000
step_efficiency,Grocery,MiPN_general,0.029187,0.032961,6000
step_efficiency,Grocery,Transformer_expert,0.066752,0.087124,6000
step_efficiency,Grocery,Transformer_general,0.022176,0.033335,6000
step_efficiency,thompson,MiPN_expert,0.018662,0.023436,6000
step_efficiency,thompson,MiPN_general,0.019850,0.027535,6000
step_efficiency,thompson,Transformer_expert,0.037102,0.069871,6000
step_efficiency,thompson,Transformer_general,0.021171,0.031468,6000
step_efficiency,Car,MiPN_expert,0.032688,0.038695,6000
step_efficiency,Car,MiPN_general,0.040550,0.055855,6000
step_efficiency,Car,Transformer_expert,0.068112,0.098963,6000
step_efficiency,Car,Transformer_general,0.036898,0.060256,6000
step_efficiency,EnergySmall_A,MiPN_expert,0.014056,0.022467,6000
step_efficiency,EnergySmall_A,MiPN_general,0.014856,0.021840,6000
step_efficiency,EnergySmall_A,Transformer_expert,0.028650,0.058156,6000
step_efficiency,EnergySmall_A,Transformer_general,0.014276,0.022275,6000
step_efficiency,Average,MiPN_expert,0.028255,0.036910,42000
step_efficiency,Average,MiPN_general,0.031479,0.043744,42000
step_efficiency,Average,Transformer_expert,0.057652,0.083106,42000
step_efficiency,Average,Transformer_general,0.026904,0.045732,42000
